user_id,user_id_raw,full_name,pan,pan_status,aadhaar_last4,aadhaar_status,date_of_birth,dob_invalid,age,city,state,city_state_mismatch,monthly_income,income_was_negative,occupation,signup_timestamp,signup_in_future,kyc_status,risk_segment,id_record_count
USR10001,usr10001,Osha Dewan,,INVALID,8310,VALID,1964-03-24,False,62.0,Pune,Maharashtra,False,37535.0,False,Retired,2025-09-27 00:00:00,False,VERIFIED,MEDIUM,1
USR10007,USR10007,Yutika Borra,,MISSING,9606,VALID,1963-09-27,False,62.5,Bengaluru,Karnataka,False,20393.0,False,Unemployed,2025-02-07 00:00:00,False,VERIFIED,MEDIUM,1
USR10010,USR10010,Warda Dada,WJVZZ1464B,VALID,2042,VALID,1964-07-26,False,61.7,Jalandhar,Punjab,False,48376.0,False,Gig Worker,2024-07-26 09:55:29,False,PENDING,HIGH,1
USR10013,USR10013,Azaan Nigam,LQQSW5207I,VALID,3345,VALID,1982-12-12,False,43.3,Pune,Maharashtra,False,,False,Salaried,2025-10-09 00:00:00,False,VERIFIED,HIGH,1
USR10014,USR-10014,Nisha Patil,RPDIH8589M,VALID,9228,MASKED,1987-08-29,False,38.6,Mumbai,Maharashtra,False,18633.0,False,Freelancer,2026-01-28 00:00:00,False,VERIFIED,MEDIUM,1
USR10015,USR10015,Nitara Butala,ZATCW5166R,VALID,3494,VALID,2007-05-17,False,18.9,Ludhiana,Punjab,False,7232.0,False,Freelancer,2026-02-10 00:00:00,False,VERIFIED,LOW,1
USR10020,USR10020,Ekaraj Bora,OBRCZ2255G,VALID,7298,VALID,1982-03-12,False,44.1,Delhi,Delhi,False,31737.0,False,Retired,2024-04-10 00:00:00,False,VERIFIED,MEDIUM,1
USR10022,usr10022,Unni Bajaj,OASHV5339A,VALID,1007,VALID,1962-11-10,False,63.4,Amritsar,Punjab,False,,False,Gig Worker,2026-02-02 18:39:00,False,VERIFIED,LOW,1
USR10024,USR-10024,Hemang Kumar,UBHIY9130I,VALID,9547,VALID,1968-04-14,False,58.0,Kolkata,West Bengal,False,22557.0,False,Salaried,2024-11-19 01:48:00,False,VERIFIED,HIGH,1
USR10027,USR 10027,Aayush Shenoy,,INVALID,4804,VALID,1960-02-16,False,66.1,Delhi,Delhi,False,18134.0,False,Retired,,False,VERIFIED,LOW,1
USR10030,USR10030,Nirja Subramanian,UCCFI2469W,VALID,7814,MASKED,1982-03-08,False,44.1,Chennai,Tamil Nadu,False,83400.0,False,Unemployed,2024-08-03 16:27:00,False,VERIFIED,MEDIUM,1
USR10031,usr_10031,Yasti Sami,IKRBX1473T,VALID,3372,VALID,1995-11-26,False,30.3,Pune,Maharashtra,False,27676.0,False,Self Employed,2026-02-03 00:00:00,False,IN_REVIEW,LOW,1
USR10043,USR10043,Rehaan Buch,TWXGM2046F,VALID,3663,VALID,1991-07-06,False,34.7,Ludhiana,Punjab,False,17368.0,False,Business Owner,2025-03-21 00:00:00,False,VERIFIED,MEDIUM,2
USR10045,usr_10045,Mohammed Sur,HGVSK6101C,VALID,8704,VALID,1979-03-02,False,47.1,Pune,Maharashtra,False,42100.0,False,Student,2024-05-13 00:00:00,False,REJECTED,MEDIUM,1
USR10046,usr_10046,Indrajit Patla,ZIEPW3536D,VALID,7960,VALID,2006-01-04,False,20.2,Jalandhar,Punjab,False,33616.0,False,Self Employed,2025-03-30 00:00:00,False,VERIFIED,MEDIUM,1
USR10047,USR10047,Pushti Datta,RPFZI6765W,VALID,7427,VALID,1979-06-11,False,46.8,Pune,Maharashtra,False,38887.0,False,Salaried,,False,IN_REVIEW,LOW,1
USR10048,USR10048,Jhalak Chaudhry,PVBSX3783Q,VALID,3969,VALID,2001-05-31,False,24.8,Bengaluru,Karnataka,False,48066.0,False,Retired,2026-02-06 00:00:00,False,PENDING,LOW,1
USR10049,usr10049,Eshana De,OCHZK0381G,VALID,8615,VALID,1980-10-16,False,45.5,Amritsar,Punjab,False,55166.0,False,Gig Worker,2024-05-19 00:00:00,False,VERIFIED,MEDIUM,2
USR10052,USR10052,Rohan Kothari,UBWTV8602C,VALID,2668,VALID,1960-10-28,False,65.4,Kolkata,West Bengal,False,61355.0,False,Business Owner,2026-01-26 05:06:55,False,VERIFIED,MEDIUM,3
USR10054,usr10054,Veda Sodhi,,MISSING,8561,VALID,1977-02-24,False,49.1,Ludhiana,Punjab,False,15820.0,True,Unemployed,,False,VERIFIED,LOW,1
USR10057,USR10057,Zehaan Shetty,KQMXL5728R,VALID,2603,VALID,1998-05-30,False,27.8,Kolkata,West Bengal,False,,False,Freelancer,2026-03-10 00:00:00,False,VERIFIED,MEDIUM,1
USR10059,USR10059,Darsh Bhatti,VDRFY3513K,VALID,3974,VALID,,False,,Jalandhar,Punjab,False,62771.0,False,Unemployed,2024-06-23 22:19:56,False,VERIFIED,MEDIUM,1
USR10064,USR10064,Yamini Kapadia,LLLDU5856D,VALID,8298,VALID,1982-10-16,False,43.5,Ludhiana,Punjab,False,,False,Gig Worker,,False,PENDING,UNKNOWN,1
USR10066,USR10066,Yashoda Som,GMSVD2441K,VALID,0270,VALID,2006-07-26,False,19.7,Jaipur,Rajasthan,False,25819.0,False,Student,2025-05-15 00:00:00,False,IN_REVIEW,LOW,1
USR10069,USR 10069,Fiyaz Pingle,RAHVJ4104Y,VALID,5178,VALID,1961-09-27,False,64.5,Mumbai,Maharashtra,False,49895.0,False,Business Owner,,False,VERIFIED,MEDIUM,1
USR10070,USR10070,Vedhika Chaudhry,YDFTR4800M,VALID,7652,VALID,1976-03-17,False,50.0,Lucknow,Uttar Pradesh,False,10797.0,False,Salaried,2025-06-26 00:00:00,False,VERIFIED,LOW,1
USR10078,USR10078,Balvan Choudhary,ETFYC6320D,VALID,1162,VALID,,False,,Bengaluru,Karnataka,False,,False,Unemployed,2025-10-15 00:00:00,False,VERIFIED,HIGH,1
USR10085,USR10085,Neel Deol,CCHNM7498D,VALID,0756,VALID,1981-04-16,False,45.0,Hyderabad,Telangana,False,,False,Retired,2025-04-23 00:00:00,False,VERIFIED,MEDIUM,1
USR10086,USR10086,Idika Biswas,IHKMF2011Z,VALID,3017,VALID,1998-11-12,False,27.4,Bengaluru,Karnataka,False,29650.0,False,Retired,2024-08-08 15:24:44,False,REJECTED,LOW,1
USR10088,usr10088,Jyoti Soni,JNJEH7052X,VALID,3823,VALID,1986-01-05,False,40.2,Ludhiana,Punjab,False,26367.0,False,Student,,False,VERIFIED,LOW,2
USR10090,usr_10090,Arya Nadig,FXVKY3589L,VALID,,INVALID,1976-11-29,False,49.3,Lucknow,Uttar Pradesh,False,13798.0,False,Freelancer,,False,VERIFIED,LOW,1
USR10093,USR10093,Widisha Ganesan,,MISSING,0492,VALID,1967-01-08,False,59.2,Ludhiana,Punjab,False,,False,Student,2025-10-31 01:25:20,False,VERIFIED,HIGH,1
