user_id,txns,amount,failed_txns,kyc_status,risk_segment,chargebacks,disputed_amount,max_disputed,fraud_chargebacks,distinct_merchants_disputed,full_name,city,monthly_income,id_record_count,risk_score,risk_signals,risk_tier
USR65881,1,4717.94,0,REJECTED,MEDIUM,2.0,16234.45,13889.45,1.0,1.0,Kavya Majumdar,Amritsar,,2.0,75,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute, kyc_not_verified",HIGH
USR63941,2,19973.22,0,PENDING,MEDIUM,2.0,13145.36,12097.84,1.0,2.0,Lopa Shanker,Jaipur,18089.0,1.0,75,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute, kyc_not_verified",HIGH
USR58627,2,15533.310000000001,0,NO_KYC_RECORD,NO_KYC_RECORD,4.0,34493.479999999996,19544.3,3.0,2.0,,,,,70,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute, no_kyc_record",HIGH
USR68953,2,33146.020000000004,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,25960.97,19902.97,1.0,2.0,,,,,70,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute, no_kyc_record",HIGH
USR71148,1,24853.54,0,IN_REVIEW,HIGH,2.0,18876.03,14278.2,0.0,1.0,Warinder Dara,Kolkata,34317.0,1.0,70,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), kyc_not_verified, high_risk_segment",HIGH
USR19303,1,14721.41,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,18732.38,14721.41,1.0,1.0,,,,,70,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute, no_kyc_record",HIGH
USR34667,2,32664.0,1,NO_KYC_RECORD,NO_KYC_RECORD,2.0,16921.59,16370.0,1.0,2.0,,,,,70,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute, no_kyc_record",HIGH
USR78019,1,22582.81,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,15005.39,12811.39,1.0,1.0,,,,,70,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute, no_kyc_record",HIGH
USR24980,1,12534.15,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,13833.85,12534.15,1.0,1.0,,,,,70,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute, no_kyc_record",HIGH
USR80974,1,18238.81,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,13428.48,12115.08,1.0,1.0,,,,,70,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute, no_kyc_record",HIGH
USR14920,2,42431.05,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,12163.57,10125.57,1.0,1.0,,,,,70,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute, no_kyc_record",HIGH
USR66261,1,15335.95,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,10959.34,9737.34,1.0,1.0,,,,,70,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute, no_kyc_record",HIGH
USR48734,2,9881.94,0,REJECTED,HIGH,3.0,6485.63,4522.0,1.0,2.0,Oscar De,Ludhiana,13464.0,1.0,70,"repeated_disputes(≥2), fraud_type_dispute, kyc_not_verified, high_risk_segment",HIGH
USR18716,2,8561.77,0,PENDING,HIGH,2.0,5837.790000000001,4960.35,2.0,2.0,Bahadurjit Mangat,Bengaluru,31700.0,1.0,70,"repeated_disputes(≥2), fraud_type_dispute, kyc_not_verified, high_risk_segment",HIGH
USR16089,1,14920.61,0,VERIFIED,LOW,2.0,29841.22,14920.61,1.0,1.0,Matthew Baral,Ludhiana,19258.0,1.0,65,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute, disputed_more_than_income",HIGH
USR83423,1,10160.24,0,VERIFIED,LOW,2.0,11471.24,10160.24,1.0,1.0,Kiaan Raval,Delhi,11084.0,1.0,65,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute, disputed_more_than_income",HIGH
USR65475,2,39187.94,0,VERIFIED,LOW,2.0,37318.38,18659.19,2.0,1.0,Caleb Lata,Chennai,40446.0,1.0,60,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute",HIGH
USR14076,1,18970.3,0,VERIFIED,MEDIUM,2.0,27002.62,18970.3,1.0,1.0,Lopa Arya,Jalandhar,39260.0,1.0,60,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute",HIGH
USR95217,1,8219.44,0,REJECTED,LOW,3.0,13967.09,8219.44,2.0,1.0,Samarth Mani,Kolkata,25587.0,3.0,60,"repeated_disputes(≥2), fraud_type_dispute, kyc_not_verified",HIGH
USR96932,2,22004.559999999998,1,VERIFIED,LOW,2.0,13749.87,9344.29,1.0,2.0,Yutika Khare,Bengaluru,43038.0,1.0,60,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), fraud_type_dispute",HIGH
USR57502,1,16342.48,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,30866.46,26923.0,0.0,1.0,,,,,55,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), no_kyc_record",HIGH
USR50579,2,26593.13,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,18916.34,14382.17,0.0,1.0,,,,,55,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), no_kyc_record",HIGH
USR53172,1,15266.55,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,17666.02,15266.55,0.0,1.0,,,,,55,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), no_kyc_record",HIGH
USR95219,1,169.58,1,NO_KYC_RECORD,NO_KYC_RECORD,2.0,16524.78,10453.78,0.0,1.0,,,,,55,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), no_kyc_record",HIGH
USR63885,2,12016.5,1,NO_KYC_RECORD,NO_KYC_RECORD,3.0,14546.3,7857.66,2.0,2.0,,,,,55,"repeated_disputes(≥2), fraud_type_dispute, no_kyc_record",HIGH
USR79916,1,3784.94,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,14144.810000000001,10359.87,0.0,1.0,,,,,55,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), no_kyc_record",HIGH
USR14586,1,7316.65,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,12828.71,11376.0,0.0,1.0,,,,,55,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), no_kyc_record",HIGH
USR16569,2,13599.81,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,12772.880000000001,6769.33,1.0,2.0,,,,,55,"repeated_disputes(≥2), fraud_type_dispute, no_kyc_record",HIGH
USR94603,1,12565.66,0,REJECTED,HIGH,1.0,12565.66,12565.66,1.0,1.0,Irya Thaman,Delhi,29306.0,1.0,55,"high_value_chargeback(≥₹8,976), fraud_type_dispute, kyc_not_verified, high_risk_segment",HIGH
USR48448,1,10230.57,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,11829.79,10765.79,0.0,1.0,,,,,55,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), no_kyc_record",HIGH
USR15586,1,23990.21,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,11018.82,10555.32,0.0,1.0,,,,,55,"repeated_disputes(≥2), high_value_chargeback(≥₹8,976), no_kyc_record",HIGH
USR21050,1,2482.82,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,9559.32,6433.23,1.0,1.0,,,,,55,"repeated_disputes(≥2), fraud_type_dispute, no_kyc_record",HIGH
USR43108,1,21129.23,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,9041.04,5881.5,1.0,1.0,,,,,55,"repeated_disputes(≥2), fraud_type_dispute, no_kyc_record",HIGH
USR84883,2,14138.730000000001,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,8944.78,5443.5,2.0,1.0,,,,,55,"repeated_disputes(≥2), fraud_type_dispute, no_kyc_record",HIGH
USR81301,2,25419.25,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,8868.39,5856.29,2.0,1.0,,,,,55,"repeated_disputes(≥2), fraud_type_dispute, no_kyc_record",HIGH
USR47683,1,6861.6,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,8852.529999999999,7361.16,1.0,1.0,,,,,55,"repeated_disputes(≥2), fraud_type_dispute, no_kyc_record",HIGH
USR18456,1,13443.13,0,NO_KYC_RECORD,NO_KYC_RECORD,2.0,8444.93,5067.95,1.0,1.0,,,,,55,"repeated_disputes(≥2), fraud_type_dispute, no_kyc_record",HIGH
